cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
Arroz,1924,1924/1925,Formosa,34,Pilagás,34042,1,1,1,1000
Arroz,1924,1924/1925,Jujuy,38,El Carmen,38014,100,100,200,2000
Arroz,1924,1924/1925,Jujuy,38,San Pedro,38063,250,250,570,2280
Arroz,1924,1924/1925,Jujuy,38,Santa Bárbara,38070,150,150,330,2200
Arroz,1924,1924/1925,Misiones,54,Apóstoles,54007,1129,1129,2258,2000
Arroz,1924,1924/1925,Misiones,54,Candelaria,54021,22,22,44,2000
Arroz,1924,1924/1925,Misiones,54,Concepción,54035,185,185,2258,12205
Arroz,1924,1924/1925,Misiones,54,San Ignacio,54098,31,31,62,2000
Arroz,1924,1924/1925,Misiones,54,San Javier,54105,1241,1241,2482,2000
Arroz,1924,1924/1925,Corrientes,18,Santo Tomé,18168,89,89,89,1000
Arroz,1924,1924/1925,Mendoza,50,General Alvear,50014,1,1,1,1000
Arroz,1924,1924/1925,Salta,66,Anta,66007,55,55,165,3000
Arroz,1924,1924/1925,Salta,66,Campo santo,66049,90,90,270,3000
Arroz,1924,1924/1925,Salta,66,Metán,66112,60,60,180,3000
Arroz,1924,1924/1925,Salta,66,Orán,66126,6,6,18,3000
Arroz,1924,1924/1925,Tucumán,90,Chicligasta,90021,752,752,1894,2519
Arroz,1924,1924/1925,Tucumán,90,Río Chico,90077,1010,1010,2828,2800
Arroz,1925,1925/1926,Corrientes,18,Paso de los Libres,18119,10,10,10,1000
Arroz,1925,1925/1926,Corrientes,18,San Martín,18147,18,18,19,1056
Arroz,1925,1925/1926,Corrientes,18,Santo Tomé,18168,22,22,22,1000
Arroz,1925,1925/1926,Formosa,34,Pilagás,34042,4,4,6,1500
Arroz,1925,1925/1926,Formosa,34,Pilcomayo,34049,6,6,9,1500
Arroz,1925,1925/1926,Misiones,54,Apóstoles,54007,1070,1070,2297,2147
Arroz,1925,1925/1926,Misiones,54,Candelaria,54021,14,14,26,1857
Arroz,1925,1925/1926,Misiones,54,Concepción,54035,170,170,340,2000
Arroz,1925,1925/1926,Misiones,54,San Ignacio,54098,24,24,42,1750
Arroz,1925,1925/1926,Misiones,54,San Javier,54105,1222,1222,2295,1878
Arroz,1925,1925/1926,Salta,66,Anta,66007,15,15,37,2467
Arroz,1925,1925/1926,Salta,66,Campo santo,66049,65,65,162,2492
Arroz,1925,1925/1926,Tucumán,90,Chicligasta,90021,913,913,1258,1378
Arroz,1925,1925/1926,Tucumán,90,Graneros,90035,3,3,6,2000
Arroz,1926,1926/1927,Corrientes,18,Santo Tomé,18168,80,80,160,2000
Arroz,1926,1926/1927,Misiones,54,Apóstoles,54007,1405,1405,3512,2500
Arroz,1926,1926/1927,Misiones,54,Candelaria,54021,15,15,30,2000
Arroz,1926,1926/1927,Misiones,54,Concepción,54035,445,445,1121,2519
Arroz,1926,1926/1927,Misiones,54,San Ignacio,54098,10,10,24,2400
Arroz,1926,1926/1927,Tucumán,90,Chicligasta,90021,520,520,1103,2121
Arroz,1926,1926/1927,Tucumán,90,Graneros,90035,36,36,79,2194
Arroz,1926,1926/1927,Tucumán,90,Monteros,90070,350,350,630,1800
Arroz,1927,1927/1928,Misiones,54,Apóstoles,54007,1347,1347,1703,1264
Arroz,1927,1927/1928,Misiones,54,Candelaria,54021,43,43,49,1140
Arroz,1927,1927/1928,Misiones,54,Concepción,54035,460,460,506,1100
Arroz,1927,1927/1928,Misiones,54,San Ignacio,54098,12,12,14,1167
Arroz,1927,1927/1928,Misiones,54,San Javier,54105,370,370,407,1100
Arroz,1927,1927/1928,Corrientes,18,Ituzaingó,18084,73,73,131,1795
Arroz,1927,1927/1928,Corrientes,18,Santo Tomé,18168,30,30,60,2000
Arroz,1927,1927/1928,Jujuy,38,El Carmen,38014,20,20,20,1000
Arroz,1927,1927/1928,Jujuy,38,San Pedro,38063,30,30,30,1000
Arroz,1927,1927/1928,Salta,66,Anta,66007,17,17,34,2000
Arroz,1927,1927/1928,Salta,66,Campo santo,66049,42,42,84,2000
Arroz,1927,1927/1928,Salta,66,Metán,66112,16,16,32,2000
Arroz,1927,1927/1928,Tucumán,90,Chicligasta,90021,1200,1200,2400,2000
Arroz,1927,1927/1928,Tucumán,90,Graneros,90035,6,6,15,2500
Arroz,1927,1927/1928,Tucumán,90,Leales,90056,30,30,66,2200
Arroz,1927,1927/1928,Tucumán,90,Monteros,90070,300,300,510,1700
Arroz,1927,1927/1928,Tucumán,90,Río Chico,90077,340,340,1110,3265
Arroz,1928,1928/1929,Corrientes,18,Empedrado,18042,1,1,2,2000
Arroz,1928,1928/1929,Corrientes,18,Ituzaingó,18084,80,80,160,2000
Arroz,1928,1928/1929,Corrientes,18,Santo Tomé,18168,35,35,73,2086
Arroz,1928,1928/1929,Jujuy,38,El Carmen,38014,41,41,102,2488
Arroz,1928,1928/1929,Tucumán,90,Burruyacú,90007,5,3,3,1000
Arroz,1928,1928/1929,Tucumán,90,Capital,90084,4,2,2,1000
Arroz,1928,1928/1929,Tucumán,90,Chicligasta,90021,844,670,1692,2525
Arroz,1928,1928/1929,Tucumán,90,Cruz Alta,90014,8,7,7,1000
Arroz,1928,1928/1929,Tucumán,90,Famaillá,90028,55,30,36,1200
Arroz,1928,1928/1929,Tucumán,90,Graneros,90035,28,20,16,800
Arroz,1928,1928/1929,Tucumán,90,Leales,90056,15,7,7,1000
Arroz,1928,1928/1929,Tucumán,90,Monteros,90070,150,140,196,1400
Arroz,1928,1928/1929,Tucumán,90,Río Chico,90077,583,463,1000,2160
Arroz,1928,1928/1929,Tucumán,90,Tafí del Valle,90098,6,4,4,1000
Arroz,1928,1928/1929,Tucumán,90,Trancas,90112,2,1,1,1000
Arroz,1928,1928/1929,Buenos Aires,06,Quilmes,06658,200,120,156,1300
Arroz,1928,1928/1929,Formosa,34,Pilagás,34042,4,4,8,2000
Arroz,1928,1928/1929,Misiones,54,Apóstoles,54007,800,800,1576,1970
Arroz,1928,1928/1929,Misiones,54,Candelaria,54021,40,40,72,1800
Arroz,1928,1928/1929,Misiones,54,Concepción,54035,320,320,672,2100
Arroz,1928,1928/1929,Misiones,54,San Ignacio,54098,6,6,12,2000
Arroz,1928,1928/1929,Misiones,54,San Javier,54105,200,200,400,2000
Arroz,1928,1928/1929,Salta,66,Anta,66007,17,17,51,3000
Arroz,1928,1928/1929,Santa Fe,82,San Javier,82098,1,1,2,2000
Arroz,1929,1929/1930,Misiones,54,Apóstoles,54007,700,700,900,1286
Arroz,1929,1929/1930,Misiones,54,Candelaria,54021,100,100,100,1000
Arroz,1929,1929/1930,Misiones,54,Concepción,54035,100,100,100,1000
Arroz,1929,1929/1930,Misiones,54,San Ignacio,54098,50,50,50,1000
Arroz,1929,1929/1930,Misiones,54,San Javier,54105,700,630,825,1310
Arroz,1929,1929/1930,Tucumán,90,Burruyacú,90007,4,4,8,2000
Arroz,1929,1929/1930,Tucumán,90,Capital,90084,2,2,4,2000
Arroz,1929,1929/1930,Tucumán,90,Chicligasta,90021,450,439,1000,2278
Arroz,1929,1929/1930,Tucumán,90,Cruz Alta,90014,2,2,4,2000
Arroz,1929,1929/1930,Tucumán,90,Famaillá,90028,50,49,98,2000
Arroz,1929,1929/1930,Tucumán,90,Graneros,90035,15,14,28,2000
Arroz,1929,1929/1930,Tucumán,90,Leales,90056,15,14,28,2000
Arroz,1929,1929/1930,Tucumán,90,Monteros,90070,80,77,154,2000
