indice_tiempo,superficie_sembrada_cebada_forrajera_ha,superficie_cosechada_cebada_forrajera_ha,produccion_cebada_forrajera_tm,rendimiento_cebada_forrajera_kgxha
1938,308844,291,190652,820.1
1939,320501,291,145611,803.23
1940,277654,261,140301,703.51
1941,188298,134,65131,773.09
1942,141466,130,45837,888.87
1943,378350,309,287519,842.54
1944,166200,221,21902,478.63
1945,648380,419,335799,616.61
1946,309501,319,145876,699.85
1947,178231,273,98135,774.04
1948,232850,297,79340,717.5
1949,166845,263,50972,527.43
1950,253800,312,82771,597.68
1951,208655,271,39994,459.48
1952,256400,302,136576,742.07
1953,247425,280,101697,629.88
1954,273950,316,136874,716.34
1955,283635,304,91663,621.19
1956,355060,317,165170,644.35
1957,435138,320,133903,516.72
1958,400163,304,144238,557.96
1959,394859,301,160050,598.95
1960,374500,311,108401,530
1961,370087,305,115300,511.36
1962,349565,322,64825,499.97
1963,104640,161,26491,440.71
1964,346275,314,133894,614.69
1965,334455,287,62784,497.65
1966,477847,316,65943,487.84
1967,345118,292,87354,484.44
1968,454520,315,81044,477.18
1969,417420,289,69074,504.85
1970,379880,310,47085,471.68
1971,408635,308,77130,448.15
1972,563443,277,119855,477.42
1973,581250,298,124000,420.05
